Ticker,Sector,Theme,Subtheme,ETF_RS_Raw,Theme_Class
UMI,Energy,MLP,General,24.80771459833795,Emerging
DFEM,Geographic,Broad Emerging Markets,General,24.80167708676141,Emerging
FXL,Technology,broad,General,24.80056223808241,Emerging
XBI,Healthcare,Biotech,General,24.688228789110834,Emerging
IEMG,Geographic,Broad Emerging Markets,General,24.550332902885295,Emerging
FAN,Strategy,Socially Responsible,General,24.540102118644068,Emerging
IVES,Technology,Artificial Intelligence,Robotics,24.3981607942464,Emerging
IGE,Materials,Broad,General,24.366303662258392,Emerging
EIPX,Energy,Broad,General,24.105106185983825,Emerging
TDIV,Technology,broad,General,24.07804882352941,Emerging
FTXR,Industrials,Transportation/Shipping,General,24.072689012738852,Emerging
TLTE,Geographic,Broad Emerging Markets,General,23.40511475678803,Emerging
TPYP,Energy,MLP,General,23.287743107454016,Emerging
FCG,Energy,natural gas,General,23.214265454124188,Emerging
HAP,Materials,Broad,General,23.162438265323765,Emerging
TDVI,Technology,broad,General,22.83325068825911,Emerging
EIS,Geographic,Israel,General,22.81659549649847,Emerging
EWN,Geographic,Netherlands,General,22.75786710586882,Emerging
ARKG,Healthcare,Broad,General,22.750264666160852,Emerging
AMZA,Energy,MLP,General,22.14850413479053,Emerging
IYM,Materials,Broad,General,22.041385503832494,Emerging
FDEM,Geographic,Broad Emerging Markets,General,21.994727072310408,Emerging
PAVE,Utilities,Infrastructure,General,21.89700460646736,Emerging
PJP,Healthcare,Pharma,General,21.85666591381872,Emerging
EPOL,Geographic,Poland,General,21.829606028368797,Emerging
FBT,Healthcare,Biotech,General,21.59505054959785,Emerging
KBWB,Financials,Banking,General,21.5725198089172,Emerging
ATMP,Energy,MLP,General,21.38698353944563,Emerging
XAR,Industrials,Aerospace & Defense,General,21.30261778540237,Emerging
FEM,Geographic,Broad Emerging Markets,General,21.21498782208589,Emerging
GNR,Materials,Broad,General,21.18868984368022,Emerging
DFSE,Geographic,Broad Emerging Markets,General,21.00153834492351,Emerging
XT,Technology,broad,General,20.775556708542716,Emerging
IUTSF,Geographic,Canada,General,20.755784430122116,Emerging
DEM,Geographic,Broad Emerging Markets,General,20.54996697044335,Emerging
EWJV,Geographic,Japan,General,20.484015,Emerging
GUNR,Materials,Broad,General,20.14583877381684,Emerging
XPH,Healthcare,Pharma,General,20.07894906560636,Emerging
FDD,Geographic,Broad Europe,General,20.002321896551727,Emerging
IFRA,Utilities,Infrastructure,General,19.613801780551906,Emerging
NUEM,Strategy,Socially Responsible,General,19.412644979811574,Emerging
USRT,Real Estate,REITs,General,19.24539,Emerging
BKGI,Utilities,Infrastructure,General,19.205605839002267,Emerging
IYT,Industrials,Transportation/Shipping,General,18.99596502859866,Emerging
BBRE,Real Estate,REITs,General,18.852825000000003,Emerging
RWR,Real Estate,REITs,General,18.829240000000002,Emerging
ZAP,Energy,Broad,General,18.66940946735395,Emerging
ILF,Geographic,Broad Latin America,General,18.622356132783196,Emerging
EWI,Geographic,Italy,General,18.621074756554307,Emerging
KRE,Financials,Regional Banks,General,18.556894573991034,Emerging
EWP,Geographic,Spain,General,18.470373605015673,Emerging
EIPI,Energy,Broad,General,18.316130147492625,Emerging
FLJP,Geographic,Japan,General,18.305277219251337,Emerging
IAT,Financials,Regional Banks,General,18.227630705467373,Emerging
EMLP,Energy,MLP,General,18.16245223514212,Emerging
ASHR,Geographic,China,General,18.116680127701375,Emerging
CIBR,Technology,broad,General,18.01737743895176,Emerging
EWC,Geographic,Canada,General,18.012953523676877,Emerging
FNDE,Geographic,Broad Emerging Markets,General,17.91134653581943,Emerging
JTEK,Technology,broad,General,17.87799548825361,Emerging
EWJ,Geographic,Japan,General,17.78010362745098,Emerging
BBCA,Geographic,Canada,General,17.772962004357296,Emerging
SCHH,Real Estate,REITs,General,17.755940000000002,Emerging
AMJB,Energy,MLP,General,17.705795662778367,Emerging
ICF,Real Estate,REITs,General,17.69661,Emerging
SILJ,Materials,Silver Mining,General,17.580482953667953,Emerging
AMLP,Energy,MLP,General,17.498169212598423,Emerging
DFAR,Real Estate,Broad,General,17.49064,Emerging
MLPA,Energy,MLP,General,17.463542994923856,Emerging
FEP,Geographic,Broad Europe,General,17.435912161862525,Emerging
FLCA,Geographic,Canada,General,17.28939853746978,Emerging
PBOG,Energy,Exploration,General,17.2862362849162,Emerging
AIPO,Technology,Artificial Intelligence,Robotics,17.1907213215951,Emerging
PXH,Geographic,Broad Emerging Markets,General,17.171745042075738,Emerging
AVES,Geographic,Broad Emerging Markets,General,17.168677089552236,Emerging
FLBR,Geographic,Brazil,General,17.078439811320756,Weakening
SLVP,Materials,Silver Mining,General,17.0213781194178,Weakening
DAPP,Technology,broad,General,16.991560704776823,Weakening
EEMV,Geographic,Broad Emerging Markets,General,16.871036225554107,Weakening
FIDU,Industrials,Broad,General,16.823181320754717,Weakening
VIS,Industrials,Broad,General,16.74168211286263,Weakening
HACK,Technology,broad,General,16.602604175317182,Weakening
MXI,Materials,Broad,General,16.4959880599757,Weakening
PKB,Industrials,Engineering and Construction,General,16.324458801198205,Weakening
KBE,Financials,Banking,General,16.208846511318242,Weakening
IHF,Healthcare,Healthcare,General,16.177992972536348,Weakening
DFJ,Geographic,Japan,General,15.86010227399877,Weakening
GMF,Geographic,Asia Emerging,General,15.771833279783152,Weakening
EWW,Geographic,Mexico,General,15.737802297123228,Weakening
REZ,Real Estate,REITs,General,15.577515,Weakening
JPRE,Real Estate,REITs,General,15.572325,Weakening
IPAC,Geographic,Asia Developed,General,15.413144751972945,Weakening
SPEM,Geographic,Broad Emerging Markets,General,15.267272629843363,Weakening
CSRE,Real Estate,REITs,General,15.240547303070759,Weakening
REET,Real Estate,REITs,General,15.053447721518989,Weakening
EMOP,Geographic,Broad Emerging Markets,General,15.027914794490599,Weakening
MISL,Industrials,Aerospace & Defense,General,15.001101337527006,Weakening
ITA,Industrials,Aerospace & Defense,General,14.99061002785515,Weakening
PPA,Industrials,Aerospace & Defense,General,14.978755458226347,Weakening
DGS,Geographic,Broad Emerging Markets,General,14.93401715855573,Weakening
EWX,Geographic,Broad Emerging Markets,General,14.924322635658914,Weakening
VNQ,Real Estate,Broad,General,14.76619,Weakening
FREL,Real Estate,Broad,General,14.70833,Weakening
RWO,Real Estate,Broad,General,14.666680376175549,Weakening
XLRE,Real Estate,REITs,General,14.622755000000002,Weakening
XLI,Industrials,Broad,General,14.61457130825838,Weakening
VWO,Geographic,Broad Emerging Markets,General,14.578487633895817,Weakening
BBJP,Geographic,Japan,General,14.5357737258248,Weakening
DVYE,Geographic,Broad Emerging Markets,General,14.483459113924049,Weakening
VGSR,Real Estate,Broad,General,14.474525,Weakening
SCHE,Geographic,Broad Emerging Markets,General,14.273646203931204,Weakening
DFGR,Real Estate,Broad,General,14.261691939443537,Weakening
SIL,Materials,Silver Mining,General,13.912393787090423,Weakening
IYR,Real Estate,REITs,General,13.89015,Weakening
IHAK,Technology,broad,General,13.771830020242914,Weakening
EEMS,Geographic,Broad Emerging Markets,General,13.768415853319725,Weakening
EWZ,Geographic,Brazil,General,13.525852771203155,Weakening
AVRE,Real Estate,REITs,General,13.053185308151093,Weakening
VNM,Geographic,Vietnam,General,12.957578377581122,Weakening
EZU,Geographic,Broad Europe,General,12.956774221949221,Weakening
SLVR,Materials,Silver Mining,General,12.933283143988216,Weakening
GQRE,Real Estate,REITs,General,12.922409275668073,Weakening
IBB,Healthcare,Biotech,General,12.886864307400378,Weakening
PPH,Healthcare,Pharma,General,12.84762186813187,Weakening
XLB,Materials,Broad,General,12.84312911764706,Weakening
FXU,Utilities,Broad,General,12.666448465140478,Weakening
EUFN,Financials,Broad,General,12.58630621015348,Weakening
EXI,Industrials,Broad,General,12.518222578601595,Weakening
SRVR,Real Estate,REITs,General,12.335454306037475,Weakening
IGF,Utilities,Infrastructure,General,12.325178161512026,Weakening
VAW,Materials,Broad,General,12.18317721591966,Weakening
FMAT,Materials,Broad,General,12.12674054834055,Weakening
EWU,Geographic,UK,General,12.01098483640082,Weakening
JXI,Utilities,Broad,General,11.832714903600795,Weakening
GII,Utilities,Infrastructure,General,11.787263223938222,Weakening
FLGB,Geographic,UK,General,11.606429386920983,Weakening
BBEU,Geographic,Broad Europe,General,11.566125587188612,Weakening
VGK,Geographic,Broad Europe,General,11.41520924888606,Weakening
IEUR,Geographic,Broad Europe,General,11.396128923853922,Weakening
IEV,Geographic,Broad Europe,General,11.366461762917933,Weakening
FXH,Healthcare,Broad,General,11.29875913506481,Weakening
NFRA,Geographic,Global Total Market,General,11.195169166666664,Weakening
SPEU,Geographic,Broad Europe,General,11.128665228863758,Weakening
IYK,Consumer Staples,Broad,General,11.083597534246575,Weakening
RSPN,Industrials,Broad,General,10.96495172839506,Weakening
FXR,Industrials,Broad,General,10.951795734265733,Weakening
EWS,Geographic,Singapore,General,10.948104262295082,Weakening
FEZ,Geographic,Broad Europe,General,10.947736587366695,Weakening
XLP,Consumer Staples,Broad,General,10.859114691186676,Weakening
JPEM,Geographic,Broad Emerging Markets,General,10.74026900330852,Weakening
ECH,Geographic,Chile,General,10.519082023476804,Weakening
RSPU,Utilities,Broad,General,10.395919049271338,Weakening
GTOP,Technology,broad,General,10.353694617706237,Weakening
IXG,Financials,Broad,General,10.329381144414171,Weakening
RING,Materials,Gold Mining,General,10.287634768095574,Weakening
VDC,Consumer Staples,Broad,General,10.136570966924513,Weakening
FSTA,Consumer Staples,Broad,General,10.11302083093732,Weakening
ROBT,Technology,Artificial Intelligence,Robotics,10.092641140350874,Weakening
IETC,Technology,broad,General,9.89784272113943,Weakening
SKYY,Technology,Cloud Computing,Cloud Infrastructure,9.880179284454028,Weakening
EWM,Geographic,Malaysia,General,9.858078402282453,Weakening
FHLC,Healthcare,Broad,General,9.713110263852244,Weakening
IAI,Financials,Brokers/ Capital markets,General,9.684075258668134,Weakening
BBAX,Geographic,Asia Developed,General,9.564033664259927,Weakening
VHT,Healthcare,Broad,General,9.521634026487789,Weakening
NUKZ,Energy,Nuclear Power,General,9.402642371202113,Weakening
FXO,Financials,Broad,General,9.393226071428572,Lagging
BLOK,Technology,broad,General,9.325776110695585,Lagging
XLV,Healthcare,Broad,General,9.281922736453993,Lagging
CQQQ,Geographic,China,General,9.279219393939394,Lagging
TNGY,Energy,Broad,General,9.028300263157895,Lagging
EWA,Geographic,Australia,General,8.954206261770246,Lagging
EWL,Geographic,Switzerland,General,8.93675233201581,Lagging
IYH,Healthcare,Broad,General,8.857708762528913,Lagging
EDIV,Geographic,Broad Emerging Markets,General,8.679666942215087,Lagging
IYJ,Industrials,Broad,General,8.553135745856355,Lagging
IDEF,Industrials,Aerospace & Defense,General,8.545827365053979,Lagging
EPP,Geographic,Asia Developed,General,8.220219646799116,Lagging
RSPH,Healthcare,Broad,General,8.20706171403197,Lagging
EWD,Geographic,Sweden,General,8.082833550724636,Lagging
JETS,Industrials,Transportation/Shipping,General,8.064278143899896,Lagging
FUTY,Utilities,Broad,General,8.059402536231884,Lagging
KXI,Consumer Staples,Broad,General,8.009867285223367,Lagging
VPU,Utilities,Broad,General,7.971989043219542,Lagging
XLU,Utilities,Broad,General,7.924811135009927,Lagging
GDX,Materials,Gold Mining,General,7.85873019428659,Lagging
KCE,Financials,Brokers/ Capital markets,General,7.7964305509355505,Lagging
BUG,Technology,broad,General,7.569020491803279,Lagging
BBH,Healthcare,Biotech,General,7.389316454689984,Lagging
POWR,Utilities,Infrastructure,General,7.3812631274900395,Lagging
DFNL,Financials,Broad,General,7.276524737470167,Lagging
URA,Energy,Nuclear Power,General,7.248482170542636,Lagging
MOO,Materials,Agribusiness,General,7.232220700712588,Lagging
IDU,Utilities,Broad,General,7.124285150250418,Lagging
BOTZ,Technology,Artificial Intelligence,Robotics,7.017630438282647,Lagging
ARGT,Geographic,Argentina,General,6.999267866628992,Lagging
PBEU,Financials,Banking,General,6.808872216380742,Lagging
IAK,Financials,Insurance,General,6.6125489449886965,Lagging
IXJ,Healthcare,Broad,General,6.311186048472075,Lagging
SGDM,Materials,Gold Mining,General,6.215414535783366,Lagging
EWQ,Geographic,France,General,6.2003497308781865,Lagging
IYF,Financials,Broad,General,5.949373449001051,Lagging
EZA,Geographic,South Africa,General,5.692518435419441,Lagging
EWH,Geographic,Hong Kong,General,5.681454144144142,Lagging
KSA,Geographic,Middle East,General,5.515298076923077,Lagging
VOX,Communication Services,Broad,General,5.500835833767587,Lagging
FCOM,Communication Services,Broad,General,5.216477512044047,Lagging
GDXJ,Materials,Gold Mining,General,5.16218859682505,Lagging
CXSE,Strategy,Socially Responsible,General,4.965948206429779,Lagging
IXP,Communication Services,Broad,General,4.87182482792527,Lagging
NASA,Industrials,Aerospace & Defense,General,4.5670735510771365,Lagging
IYG,Financials,Broad,General,4.26229712160414,Lagging
REM,Real Estate,REITs,General,3.829203575418995,Lagging
VFH,Financials,Broad,General,3.7745464804063866,Lagging
FNCL,Financials,Broad,General,3.685057857142857,Lagging
FDIS,Consumer Discretionary,Broad,General,3.4825550357568535,Lagging
KIE,Financials,Insurance,General,3.4503248663101607,Lagging
XHB,Industrials,Engineering and Construction,General,3.438169018426648,Lagging
VCR,Consumer Discretionary,Broad,General,3.4159191739732346,Lagging
UFOX,Communication Services,Broad,General,3.321015569928759,Lagging
PBPH,Healthcare,Broad,General,3.18612834180432,Lagging
XLF,Financials,Broad,General,3.0016640221187423,Lagging
UTES,Utilities,Broad,General,2.5800316571834987,Lagging
FDN,Technology,Internet,General,2.5522324756519006,Lagging
MORT,Real Estate,REITs,General,2.3343819325153374,Lagging
XLC,Communication Services,Broad,General,1.9524714285714286,Lagging
XLY,Consumer Discretionary,Broad,General,1.6449470782743474,Lagging
URNM,Materials,Uranium Mining,General,1.4621528060355315,Lagging
SHLD,Industrials,Aerospace & Defense,General,1.2877589685658144,Lagging
EWG,Geographic,Germany,General,1.15615475308642,Lagging
NLR,Strategy,Socially Responsible,General,0.856759450623525,Lagging
IYC,Consumer Discretionary,Broad,General,0.6747839768339767,Lagging
CGW,Industrials,Water,General,0.4399837694145757,Lagging
HAUZ,Real Estate,Broad,General,0.41704179245283,Lagging
URNJ,Materials,Uranium Mining,General,-0.2825101376146808,Lagging
GXC,Geographic,China,General,-1.149631963524396,Lagging
ITB,Consumer Discretionary,Broad,General,-1.1569067809770304,Lagging
KBWD,Financials,Broad,General,-1.7315287022900767,Lagging
EUAD,Industrials,Aerospace & Defense,General,-1.76134567669173,Lagging
ARKW,Technology,Internet,General,-2.2353353321033214,Lagging
VNQI,Real Estate,Broad,General,-2.33161,Lagging
FIW,Industrials,Water,General,-2.7056827588871717,Lagging
SMIN,Geographic,India,General,-4.298871764705883,Lagging
PHO,Industrials,Water,General,-4.785191414913958,Lagging
MCHI,Geographic,China,General,-5.845376597479615,Lagging
FXI,Geographic,China,General,-6.559670049504951,Lagging
BIZD,Financials,BDCs/PE,General,-7.5104794373673025,Lagging
XSW,Technology,Software,Enterprise Software,-7.978945582503248,Lagging
EPI,Geographic,India,General,-8.469817164179103,Lagging
IGV,Technology,Software,Enterprise Software,-8.749122949907235,Lagging
FLIN,Geographic,India,General,-9.739699581151832,Lagging
PNQI,Technology,Internet,General,-10.203232816245945,Lagging
INDA,Geographic,India,General,-10.316241858237548,Lagging
INDY,Geographic,India,General,-12.365836860465114,Lagging
IHI,Healthcare,Medical Devices,General,-16.087187044917258,Lagging
ARKF,Technology,broad,General,-16.583492971781304,Lagging
KWEB,Geographic,China,General,-18.506160148632578,Lagging
